Phrases;nb Quotes;nb Mots;nb Maj;Entit�s Nomm�es (Nom propres);Entit�s Nomm�es (FULL);Mots annonciateurs
 Il n’y a pas plus luxe que le groupe LVMH.;0;11;4;0;1;0
 J’ai une opportunité unique de faire quelque chose que je n’ai jamais fait auparavant, à un niveau de mode plus élevé que tout ce que j’ai pu réaliser par le passé.;0;32;0;0;0;0
 C’est un projet que je trouve extrêmement stimulant.;0;9;0;0;0;0
 Vous avez pensé un circuit de distribution basé sur des pop-up et un site d’e-commerce… J’adore le mystère derrière la marque, le fait que, jusqu’au dernier moment, on ne sache pas à quoi s’attendre pour le prochain drop – où et quand le pop-up ouvrira, quel type de vêtement il montrera.;0;52;1;0;0;1
 C’est ça qui est excitant : découvrir une collection, des habits qu’on aime.;0;13;0;0;0;0
 Et se dire que dans deux semaines, il y aura quelque chose de complètement différent, sans savoir quoi exactement.;0;20;0;0;0;1
 La surprise fait partie du processus ?;0;7;0;0;0;0
 Je dirais plutôt l’excitation.;0;5;0;0;0;1
 Les gens ont envie d’être stimulés, impliqués, de ressentir de l’impatience.;0;12;0;0;0;0
 Si je vais dans une boutique et que je sais que dans trois semaines j’y trouverai les mêmes produits, je n’aurai probablement pas envie d’y retourner.;0;27;0;0;0;0
 Ou pas très souvent.;0;5;0;0;0;0
 L’industrie de la mode est historiquement plutôt blanche et masculine.;0;11;0;0;0;0
 Vous vous sentez comme un outsider ?;0;7;0;0;0;0
 Non, je ne me sens pas comme un outsider.;0;10;0;0;0;0
 Je sais que je suis une femme noire, sans blague.;0;11;0;0;0;0
 Mais je me sens comme un membre de la famille LVMH, c’est comme ça qu’ils me traitent.;0;18;4;0;1;0
 J’adore travailler pour eux.;0;5;0;0;0;0
 Vous voyez-vous comme un modèle ?;0;6;0;0;0;0
 Pendant des années, j’ai essayé d’échapper à ce statut, j’avais le sentiment d’être une jeune fille qui se cherchait, et donc je n’avais pas envie qu’on prenne exemple sur moi, alors que je faisais des erreurs.;0;37;0;0;0;0
 Mais j’ai fini par comprendre que ça ne dépendait pas de moi.;0;13;0;0;0;0
 Les gens me regardent, et je dois prendre mes responsabilités.;0;11;0;0;0;0
 Vous êtes la PDG et la directrice artistique de Fenty, comment faites-vous pour combiner toutes ces fonctions ?;0;18;4;0;1;0
 (Rires) Je sais, j’aurais besoin de plus d’heures dans une journée !;0;12;1;0;0;0
 Mais je fais ce qu’il y a à faire, je cours, je passe pas mal de nuits sans dormir, les membres de mon équipe viennent chez moi pour dîner et on bosse, bosse, bosse, parfois jusqu’à ce que le soleil se lève.;0;43;0;0;0;0
 Ça ne s’arrête jamais.;0;5;0;0;0;0
 Mais c’est nécessaire.;0;4;0;0;0;0
 Est-il important pour vous d’avoir un regard extérieur sur votre travail ?;0;12;0;0;0;0
 Je travaille main dans la main avec Jahleel Weaver [directeur du style de Fenty] sur ce projet.;0;18;3;1;1;0
 Il comprend tout, il a un goût exquis, une culture mode incroyable, et est connecté aux jeunes , il est mon arme secrète.;0;23;0;0;0;0
 Est-ce intimidant de travailler avec LVMH ?;0;7;4;0;1;0
 Non, je suis juste folle de joie.;0;8;0;0;0;0
 Honnêtement, je suis encore sous le choc, j’ai du mal à y croire, je m’en rendrai compte quand les produits seront en ligne et que les clients se connecteront au site.;0;32;0;0;0;0
 C’est encore abstrait.;0;4;0;0;0;0
 Jusqu’ici, j’ai été portée par un travail continu et intense pour mener ce projet à bien.;0;17;0;0;0;0
 C’est la meilleure chose que j’ai faite dans ma carrière.;0;11;0;0;0;0
 Le plus gros projet.;0;5;0;0;0;0
 A part la musique, évidemment.;0;6;0;0;0;0
 Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique Dans la même rubrique Services MASERATI QUATTROPORTE 59990 € 98 VOLVO V90 CROSS COUNTRY 60990 € 88 RENAULT VEL SATIS 4500 € 38 Recherche.;0;40;0;0;0;0
Vers une victoire écrasante du premier ministre Modi aux législatives en Inde;0;12;2;1;0;0
Six semaines de vote;0;4;0;0;0;0
Quasi-référendum;0;1;0;0;0;0
 « En Inde, le suicide comme outil de communication politique » Analyse.;1;11;2;0;1;0
 Avant le dépouillement, les analystes doutaient que « NaMo » parvienne à réitérer son exploit de 2014 en obtenant la majorité absolue avec son seul parti.;1;25;2;1;1;0
 « Ces musulmans devenus étrangers malgré eux en Inde » Reportage.;1;10;2;0;1;0
 « L’Inde vote pour ou contre Narendra Modi » Cadrage.;1;9;4;1;1;0
 Christophe Jaffrelot : « Depuis Indira Gandhi, il n’y a jamais eu une telle personnalisation du pouvoir » Reportage.;1;20;5;1;1;0
 « Le Cachemire indien boude les élections législatives » Analyse.;1;9;2;1;1;0
 « L’Inde gagne à nouveau », s’est exclamé sur Twitter Narendra Modi, qui brigue un second mandat à la tête du pays de 1,3 milliard d’habitants.;1;25;4;1;1;1
 « En Inde, la bataille pour les voix des basses castes » Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique DS DS 5 16990 € 31 MASERATI QUATTROPORTE 59990 € 98 ROLLS ROYCE GHOST 155000 € 98 Recherche Dans la même rubrique Services OPEL COMBO 5990 € 77 DS DS 5 16990 € 31 NISSAN QASHQAI 21970 € 77 Recherche.;1;66;2;0;1;0
 « Cette grande victoire est la victoire de la foi du peuple en cinq années de leadership progressiste et fort du premier ministre Modi », a déclaré sur le même réseau social Amit Shah, puissant patron du Bharatiya Janata Party (BJP) et bras droit de l’homme fort de l’Inde.;1;47;10;1;1;1
International Inde Si les tendances se confirment, la coalition emmenée par son parti dépasserait largement la majorité absolue de 272 élus à la chambre basse.;0;25;2;0;1;0
 Les premières tendances sont sans équivoque.;0;7;0;0;0;0
 Le parti du premier ministre, Narendra Modi, possédait, jeudi 23 mai, une large avance à l’issue des élections législatives en Inde, augurant d’une probable reconduction des nationalistes hindous à la tête du géant asiatique.;0;35;3;1;1;0
 Si les tendances se confirment, la coalition emmenée par le Parti du peuple indien (Bharatiya Janata Party) dépasserait confortablement la majorité absolue de 272 parlementaires (542 sièges en tout à la chambre basse, la Lok Sabha).;0;37;6;0;1;0
 Le BJP pourrait même franchir à nouveau cette barre seul, une situation peu courante dans l’histoire politique indienne, plutôt habituée aux larges coalitions.;0;24;3;0;1;0
 De son côté, le parti du Congrès, principale formation d’opposition, faisait la course en tête dans seulement 50 circonscriptions de la Lok Sabha.;0;24;3;0;1;0
 Les marchés financiers indiens, qui voient le chef de gouvernement comme favorable aux affaires, ont bondi à l’annonce de ces premières tendances et atteint des niveaux inédits.;0;28;0;0;0;0
 L’indice Sensex a brièvement franchi la barre encore jamais atteinte de 40 000 points.;0;14;1;0;1;0
 La roupie se renforçait aussi face au dollar.;0;9;0;0;0;0
 La démocratie la plus peuplée du monde a élu ses députés au cours d’un vote marathon étalé sur six semaines entre avril et mai, le plus grand scrutin jamais organisé dans l’histoire.;0;33;0;0;0;0
 Le comptage des voix, enregistrées sur des machines électroniques dans plus d’un million de bureaux de vote, a débuté jeudi à 8 heures (heure locale) – soit 4 h 30, heure de Paris – à travers le pays.;0;37;1;0;1;0
 67 % des 900 millions d’électeurs indiens se sont exprimés pour ces dix-septièmes législatives depuis l’indépendance du géant d’Asie du Sud.;0;20;1;0;0;0
 Pratiquant une ultra-personnification du pouvoir et doté d’un sens politique redoutable, Narendra Modi avait fait de ces législatives un quasi-référendum sur sa personne.;0;24;2;1;1;0
 Cet adepte d’une gouvernance par coups d’éclat a axé sa campagne sur un discours sécuritaire anxiogène, s’érigeant en défenseur de la nation.;0;23;0;0;0;0
 Le dirigeant nationaliste hindou était il y a cinq ans l’un des premiers représentants de la vague populiste mondiale actuelle à accéder au pouvoir.;0;25;0;0;0;0
 Vu comme réformateur et favorable aux affaires, il promettait de dynamiser la croissance et de propulser l’Inde au statut de puissance économique majeure.;0;24;1;0;1;1
 Au terme de son mandat, qui a aussi vu une crispation politico-religieuse de la société indienne, le premier ministre présente un bilan économique en demi-teinte.;0;26;0;0;0;0
 Malgré un taux de croissance enviable vu de l’extérieur (6,7 % en 2017-2018), la progression est jugée insuffisante au regard du potentiel et des besoins du géant de 1,3 milliard d’habitants.;0;29;0;0;0;0
 Avec son visage orné d’une barbe blanche et barré de fines lunettes, Narendra Modi est une présence constante dans la vie quotidienne des Indiens depuis son arrivée au pouvoir en 2014.;0;31;3;1;1;0
 Une saturation de l’espace public que l’Inde n’avait plus connue depuis la première ministre Indira Gandhi, assassinée en 1984.;0;19;3;1;1;0
 Cette performance est pourtant en voie d’être réalisée.;0;9;0;0;0;0
 Notre sélection d’articles sur les élections en Inde Entretien.;0;10;2;1;1;0
Christophe Castaner et la Pitié-Salpêtrière : premier désaveu pour la loi sur les « infox »;1;13;3;1;1;0
« Démontrer par l’absurde »;1;3;0;0;0;0
Condition absurde;0;2;0;0;0;0
 Or, dans la mesure où c’est une société étrangère, cela freine la « procédure d’urgence ».;1;15;0;0;0;0
 Or, les juges n’ont trouvé aucun « élément démontrant l’utilisation de tels procédés ».;1;13;0;0;0;0
 « Nous voulions démontrer par l’absurde – ce qui est parfois comme en mathématiques la méthode la plus efficace – que cette loi ne servait à rien », explique Pierre Ouzoulias, qui rappelle que le Sénat avait « refusé deux fois – à l’exception des sénateurs La République en marche – de discuter du texte [par une procédure de renvoi en commission] Au mieux, il était inutile, au pire liberticide ».;2;68;6;1;1;2
 Enfin, le juge des référés devait « apprécier le caractère manifeste du risque d’altération de la sincérité du scrutin, lié à la diffusion de ce Tweet », et ce, à quelques semaines alors seulement des élections européennes, qui se tiendront le 26 mai.;1;41;1;0;0;0
 « Ici, à la Pitié-Salpêtrière, on a attaqué un hôpital On a agressé son personnel soignant Et on a blessé un policier mobilisé pour le protéger Indéfectible soutien à nos forces de l’ordre : elles sont la fierté de la République », avait tweeté le ministre de l’intérieur.;1;46;6;0;1;1
 « Au Sénat, on nous a présenté cette loi comme une façon de mettre fin aux ingérences de la Russie On voit bien que l’ingérence peut venir d’ailleurs » En s’emparant de cette affaire, les juges rappellent les conditions drastiques d’application de cette loi, qui ne peut s’exercer que pendant les périodes électorales.;1;52;4;0;1;0
 S’emparant de cette infox, les deux parlementaires ont assigné en référé Twitter devant le tribunal de grande instance de Paris, enjoignant au réseau social de supprimer le Tweet de Christophe Castaner, et ce, afin de « faire cesser la diffusion d’allégations ou d’imputations présentées comme inexactes et trompeuses ».;1;48;5;1;1;0
 Au final, grâce aux différentes versions de l’événement relatées dans les journaux, « chaque électeur [a pu] se faire une opinion éclairée, sans risque de manipulation ».;1;26;0;0;0;0
 Cette dernière condition du texte est par essence absurde, selon Pierre Ouzoulias : « Jamais personne ne pourra prouver qu’une fausse nouvelle puisse avoir de l’influence sur un scrutin qui ne s’est pas encore déroulé » Dernière difficulté, le tribunal a jugé que Twitter France n’était pas l’entité à saisir.;1;48;6;1;1;0
 Ce dernier en avait d’ailleurs convenu, reconnaissant que le terme « d’attaque » n’était pas approprié.;1;15;0;0;0;0
 « Le texte montre surtout qu’il faut une véritable régulation des contenus sur les réseaux sociaux », conclut M.;1;18;1;1;1;1
 Sur la fausseté de l’information, le tribunal a tout d’abord jugé que, si « le message de Christophe Castaner apparaît exagéré (…), cette exagération porte sur des faits qui, eux, sont réels (…) La condition selon laquelle l’allégation doit être manifestement inexacte ou trompeuse n’est pas remplie » Ensuite, il aurait fallu que la diffusion du « Tweet litigieux » soit « cumulativement massive, artificielle ou automatisée ».;3;63;5;1;1;0
 Désireux de prendre le gouvernement à son propre jeu, deux parlementaires du Parti communiste (PCF), le sénateur des Hauts-de-Seine Pierre Ouzoulias et la députée européenne Marie-Pierre Vieu, ont voulu démontrer que « la loi sur les fausses nouvelles qui devait tout régler ne règle rien ».;1;45;11;1;1;0
Politique Médias Les plaignants qui dénonçaient les propos du ministre de l’intérieur sur Twitter, alors que ce dernier parlait d’attaque contre l’hôpital le 1er mai, ont été déboutés par la justice.;0;31;3;0;0;0
 Baptême du feu pour la loi sur les infox, censée lutter contre la diffusion de fausses nouvelles et promulguée le 23 décembre 2018.;0;22;0;0;0;0
 Ils ont ainsi attaqué devant le tribunal de grande instance de Paris les déclarations faites sur le réseau social Twitter le 1er mai par Christophe Castaner après l’entrée de manifestants dans un hôpital parisien.;0;35;4;1;1;0
 Ces déclarations avaient ensuite été démenties par les faits : l’événement reconstitué par différents journaux, dont Le Monde, avait finalement peu à voir avec la version du ministre.;0;28;2;0;1;0
 Dans un jugement rendu le 17 mai, le tribunal a débouté les plaignants, ce qui était précisément le but recherché.;0;20;0;0;0;0
 Pourquoi s’en être pris à Christophe Castaner ?;0;8;2;1;1;0
 Autrement dit, Christophe Castaner aurait par exemple dû acheter de la publicité à Twitter pour accroître la caisse de résonance de son message.;0;24;3;1;1;0
 Les plaignants auraient dû se tourner vers Twitter Irlande.;0;10;2;0;0;0
 Décodex : nos outils contre les fausses informations Déjouez les intox avec les Décodeurs : Installez en quelques clics notre extension (gratuite) pour les navigateurs Chrome (à télécharger ici) et Firefox (à télécharger ici) pour savoir en un clin d’oeil si les sites que vous consultez sont fiables , Testez les sites que vous consultez sur notre moteur de recherche (cliquez ici pour y accéder) , Vous voulez apprendre à vérifier l’information en ligne ?;0;71;7;0;0;0
 Lisez nos conseils pour éviter les fausses informations.;0;9;0;0;0;0
 Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique Dans la même rubrique Services MASERATI LEVANTE 89990 € 69 FIAT DUCATO 19490 € 94 RENAULT VEL SATIS 4500 € 38 Recherche.;0;38;0;0;0;0
Brexit : Theresa May démissionne avec le « regret de ne pas avoir pu le mettre en œuvre »;1;16;1;1;1;0
Compromis;0;1;0;0;0;0
Procédure de nomination en deux temps;0;6;0;0;0;0
 « J’ai convenu avec le président du parti [conservateur] que la procédure d’élection d’un nouveau leader commencera la semaine suivante », soit le 10 juin.;1;23;0;0;0;0
 Rapidement après la démission de Theresa May, Boris Johnson a pris la parole : « Merci pour vos services stoïques rendus à notre pays et au Parti conservateur Il est maintenant temps de suivre (vos) exhortations : se rassembler et mettre en œuvre le Brexit », a tweeté celui qui promet de reprendre la négociation à zéro.;1;54;1;1;1;1
 Mais depuis, le Parlement britannique a repoussé à plusieurs reprises ce compromis, augmentant la perpective d’un « no deal ».;1;19;1;0;1;0
 Alors que les sondages prédisent un score calamiteux (moins de 10 % des voix) aux élections européennes qui ont eu lieu jeudi 23 juin au Royaume-Uni mais dont les résultats ne seront annoncés que dimanche soir, la première ministre en partance a affirmé : « Je sais que le parti conservateur peut se renouveler dans l’année qui vient Je sais que nous pouvons mettre en œuvre le Brexit » L’émotion a commencé à la submerger lorsqu’elle a dit : « Je vais bientôt quitter la fonction qui a été l’honneur de ma vie de servir La deuxième femme première ministre, mais certainement pas la dernière ».;2;99;1;0;1;2
 En France, Emmanuel Macron, qui salue « son travail courageux », a appelé à une « clarification rapide sur le Brexit ».;2;19;1;1;1;2
 « J’ai négocié les termes de notre départ [de l’UE] J’ai fait tout ce que j’ai pu pour convaincre les députés de soutenir cet accord, a-t-elle déclaré Malheureusement, je n’ai pas pu y parvenir Il m’apparaît à présent clairement qu’il va de l’intérêt du pays qu’un nouveau premier ministre conduise cette tâche ».;1;52;1;0;1;1
 Cela signifie probablement que le « deal » avec Bruxelles laborieusement négocié pendant près de deux ans est politiquement mort avec la première ministre qui a tenté en vain de le faire ratifier.;1;32;1;0;1;0
 « Je servirai comme première ministre aussi longtemps que vous voudrez de moi », avait promis Theresa May au lendemain des catastrophiques élections législatives anticipées qu’elle avait maladroitement organisées en juin 2017.;1;30;2;1;1;1
 Affirmant son « regret profond de ne pas avoir pu mettre en œuvre le Brexit », elle a poursuivi : « Mon successeur devra aboutir à un consensus Ce consensus sera possible seulement si, des deux côtés du débat, on accepte un compromis ».;2;40;3;0;0;2
 Les pleurs sont venus lorsqu’elle a évoqué sa reconnaissance de « servir le pays qu’elle aime ».;1;16;0;0;0;1
 En Allemagne, Angela Merkel a dit « respecter » la décision de Theresa May, refusant de se prononcer sur les conséquences de la démission sur le Brexit, un processus « qui dépend des évolutions de la politique intérieure britannique ».;2;37;6;1;1;1
International Brexit Après avoir repoussé l’échéance, la première ministre britannique a annoncé qu’elle quittera finalement le pouvoir le 7 juin.;0;19;2;0;1;1
 Vendredi 24 mai au matin, devant la célèbre porte noire du 10, Downing Street, la première ministre a tiré les conséquences de la totale perte de confiance, voire de la défiance de ses ministres et des députés conservateurs.;0;38;2;0;1;0
 Presque trois ans après le référendum sur le Brexit, après trente-quatre mois passés en vain à mettre en œuvre la décision des électeurs britanniques, Mme May a dû, contre son gré, annoncer qu’elle démissionnerait le vendredi 7 juin.;0;38;3;1;1;1
 Après Margaret Thatcher, John Major et David Cameron, Mme May est la quatrième première ministre conservatrice à chuter sur la question de l’Europe.;0;24;9;1;1;1
 Les députés tories, furieux de ses dernières concessions ouvrant la possibilité d’un second référendum sur le Brexit, ne lui ont pas laissé d’autre choix.;0;25;1;0;1;0
 Un refus de sa part aurait entraîné un vote de défiance.;0;12;0;0;0;0
 Pour lui permettre de partir dignement, ils ont seulement accepté de reporter la date de sa démission après la visite au Royaume-Uni de Donald Trump, du 3 au 5 juin et après les cérémonies marquant l’anniversaire du Débarquement allié en Normandie, le 6.;0;43;6;1;1;0
 L’avertissement peut s’adresser en particulier à Boris Johnson, favori pour sa succession, et partisan d’un Brexit dur.;0;18;3;1;1;0
 Militante du parti conservateur depuis sa jeunesse, Mme May, 62 ans, s’est dit confiante pour l’avenir des Tories.;0;18;3;1;1;1
 Puis la femme de devoir s’est rapidement éclipsée vers la porte noire plutôt que de donner le spectacle de son trouble.;0;22;0;0;0;0
 Theresa May restera en fonction jusqu’à ce qu’un nouveau leader du parti conservateur soit nommé, d’ici au 20 juillet.;0;19;1;1;1;0
 Au Royaume-Uni, le chef du parti qui commande une majorité au Parlement devient automatiquement premier ministre.;0;17;3;0;1;0
 La procédure de nomination se déroule en deux temps : les députés sélectionneront les deux meilleurs candidats, puis les adhérents du parti les départageront.;0;24;0;0;0;0
 Boris Johnson est l’ultra favori des adhérents.;0;8;1;1;1;0
 Il n’est guère apprécié des députés, mais ses contempteurs sont en train de se tourner vers lui.;0;18;0;0;0;0
 Après la victoire annoncée du Parti du Brexit (extrême droite) de Nigel Farage aux élections européennes, M.;0;18;5;1;1;0
 Johnson apparaît à beaucoup d’élus conservateurs comme le seul capable de mettre en œuvre le Brexit que les électeurs conservateurs réclament.;0;21;1;1;1;0
 Nombreux sont ceux qui estiment aussi que lui seul peut les aider à se faire réélire lors des législatives qui suivront probablement la nomination du prochain premier ministre, si, comme c’est probable, l’impasse parlementaire persiste.;0;36;0;0;0;0
 Le calendrier annoncé vendredi pour la démission de Theresa May exclut la nouvelle tentative de vote d’une version amendée de l’accord sur le Brexit qu’elle souhaitait faire au début de juin.;0;32;3;1;1;0
 Coup de tonnerre dans la vie politique britannique, le départ de Mme May en est aussi un pour l’Union européenne.;0;21;3;1;1;0
 Notre sélection d’articles pour comprendre le Brexit Après un an de négociations, l’Union européenne et la Grande-Bretagne ont fini par s’entendre en novembre 2018 sur un projet d’accord de Brexit.;0;31;6;0;1;0
 Que prévoit cet accord ?;0;6;0;0;0;0
 Lire notre décryptage.;0;4;0;0;0;0
 Comprendre : le schéma qui résume six mois de tergiversations entre Londres et Bruxelles.;0;14;2;0;0;0
 Retrouvez tous nos articles sur le Brexit dans cette rubrique.;0;11;1;0;0;0
 Les plus lus Édition du jour Daté du samedi 8 juin Lire le journal numérique MASERATI QUATTROPORTE 59990 € 98 JEEP COMPASS 38900 € 92 CHEVROLET SUBURBAN 29800 € 33 Recherche Dans la même rubrique Services JEEP COMPASS 38900 € 92 KIA RIO 6990 € 74 MASERATI QUATTROPORTE 59990 € 98 Recherche.;0;53;0;0;0;0
« Trop c’est trop » : face aux scandales sexuels dans l’Eglise, ils renient leur baptême;1;13;1;0;1;0
Deux mille demandes;0;3;0;0;0;0
 « J’ai envie de vomir », a-t-elle répondu à Romain, en évoquant son « dégoût » de la hiérarchie catholique.;2;17;1;1;1;1
 Aujourd’hui encore, elle se souvient de ce 18 mars où un « sentiment d’évidence » l’a assaillie.;1;15;0;0;0;0
 « Trop c’est trop », commente la mère de famille dont le frère, qui s’est suicidé en 2010, était une victime présumée du père Preynat, ce prêtre accusé d’agressions sexuelles sur mineurs dans les années 1970 et 1980.;1;36;1;1;1;1
Société Catholicisme Exiger son « débaptême » est une réaction de plus en plus commune pour des fidèles « dégoûtés » par l’attitude de la hiérarchie catholique.;2;23;2;0;0;0
 Florence, elle, précise : « Je ne souhaite désormais plus laisser à penser que je cautionne la position de l’Eglise en en étant membre » A l’instar de Romain et Florence, une centaine de personnes ont répondu à l’appel à témoignages du Monde, racontant leur parcours pour ne plus faire partie de la communauté des catholiques.;1;54;6;1;1;2
 Article réservé aux abonnés Quand son fils lui a écrit sur leur groupe WhatsApp que le pape François refusait la démission du cardinal Barbarin, reconnu coupable de non-dénonciation d’atteintes sexuelles sur mineurs, « ça a fait tilt » dans l’esprit de Florence.;1;41;6;1;1;1
 Certains disent avoir « perdu la foi ».;1;7;0;0;0;0
 « Couvrir les violeurs, refuser de les dénoncer à la justice de l’Etat, oser jubiler à l’idée que les viols sont prescrits : si un enfer existait, comment ne pourrait-il être réservé aux personnes qui commettent ces crimes  », écrit Romain dans sa lettre demandant son « débaptême ».;2;45;2;1;1;2
 « Nous ne centralisons pas les demandes de renonciation à la foi catholique adressées aux diocèses », commente Vincent Neymon, porte-parole adjoint de la CEF.;1;24;5;1;1;1
 L’évidence, ça a été d’adresser au diocèse de Lyon une demande d’apostasie pour renier son baptême, célébré quarante ans plus tôt à l’église de Saint-Luc.;0;26;3;0;1;1
 Son fils a entrepris la même démarche.;0;8;0;0;0;0
 D’autres, baptisés enfants, disent ne l’avoir jamais eue.;0;9;0;0;0;0
 Tous évoquent le sentiment de déréliction ressenti face à l’accumulation des scandales de pédophilie et d’agressions sexuelles frappant l’Eglise.;0;20;1;0;0;0
 Combien sont-ils en France à se lancer dans cette démarche ?;0;11;1;0;0;0
 La conférence des évêques de France (CEF), instance nationale de l’Eglise catholique, reconnaît une augmentation des demandes d’apostasie ces derniers mois, sans pour autant apporter de chiffres précis.;0;29;5;0;1;0
L’OCDE constate une importante décrue des dépôts bancaires dans les paradis fiscaux;0;12;4;0;1;0
Une somme équivalant au PIB de la Belgique;0;8;4;0;1;0
 Autrement dit, il y a moins de « cash » sur les comptes qui ont été ouverts dans les paradis fiscaux, par des ménages ou des entreprises notamment désireux d’échapper au fisc.;1;31;0;0;0;0
 C’était avant la crise financière et la mise en place des mesures de coopération et de transparence fiscale décidées dans la foulée des scandales révélés par la presse, tels les « Panama Papers » d’avril 2016.;1;34;2;0;1;0
Économie Evasion fiscale Le passage à l’échange automatique d’informations bancaires entre Etats incite les titulaires de comptes offshore à rapatrier leur cash de peur d’être repérés.;0;26;3;0;1;0
 Article réservé aux abonnés C’est une évaluation inédite, estampillée Organisation de coopération et de développement économiques (OCDE).;0;18;6;0;1;0
 En dix ans, entre 2008 et 2018, les dépôts bancaires offshore ont fondu de 34 %, selon une étude économique de l’OCDE, dévoilée vendredi 7 juin, à la veille de la réunion des ministres des finances du G20 à Fukuoka, au Japon, les 8 et 9 juin.;0;45;7;0;1;0
 L’argent a été rapatrié et sans doute, pour partie, régularisé.;0;11;0;0;0;0
 Cette décrue concerne surtout les particuliers.;0;7;0;0;0;0
 Elle est largement due aux politiques de lutte contre la fraude et l’évasion fiscales des Etats, estiment les auteurs de l’étude, et plus particulièrement à l’échange automatique de données bancaires déployé depuis 2017.;0;34;1;0;1;0
 Conçue comme l’arme fatale antifraude, cette pratique consiste, pour les Etats volontaires, qui sont plus de 100 aujourd’hui dans le monde, à s’échanger des renseignements financiers sur les comptes ouverts à l’étranger par les contribuables.;0;35;1;0;1;0
 Convertie en chiffres, cette baisse de 34 % en dix ans représente 551 milliards de dollars (489 milliards d’euros) de dépôts bancaires en moins, sur les comptes ouverts par les particuliers ou les entreprises dans des centres financiers dits offshore, c’est-à-dire tournés vers une clientèle de non-résidents.;0;45;0;0;0;0
 Les Bahamas, Bahreïn, les Bermudes, Curaçao, Chypre, Jersey et Guernesey, Hongkong, l’île de Man, le Luxembourg, le Panama, Singapour, la Suisse… La liste de ces centres financiers internationaux (IFC), tels que les définit le Fonds monétaire international, est longue.;0;40;18;0;1;0
 Il s’agit d’une somme conséquente, équivalant, par exemple, au produit intérieur brut (PIB) de la Belgique.;0;17;4;0;1;0
 Ces gros montants d’épargne bancaire, dont on peut penser qu’une part importante n’était pas déclarée, ont été rapatriés par leurs propriétaires.;0;22;0;0;0;0
 Ce reflux marque une rupture, par rapport à la période de croissance des paradis fiscaux de 2000 à 2008.;0;20;0;0;0;0
 Les pays à secret bancaire prospéraient, alors, hors des radars.;0;11;0;0;0;0
 Au deuxième trimestre 2008, les dépôts bancaires offshore avaient atteint un pic à 1 600 milliards de dollars, rapporte l’OCDE.;0;18;4;0;1;0
Roland-Garros : Federer s’attaque à la forteresse Nadal;0;7;3;1;1;0
Sans date limite de consommation;0;5;0;0;0;0
Compter sur un signe de la providence;0;7;0;0;0;0
 L’Espagnol avait démarré sa tournée plus bas que terre – une défaite à Monte-Carlo, en avril, la « pire de sa carrière » sur ocre – mais le phénix a ressuscité juste à temps : demi-finale à Barcelone (fin avril) et Madrid, victoire à Rome.;1;42;6;0;1;0
 « Il va jouer de manière agressive, ça va être à moi de trouver les solutions pour le mettre en mauvaise posture, sinon, c’est moi qui vais avoir des problèmes… », avance Nadal.;1;32;1;1;1;1
 « Il va falloir jouer le tout pour le tout Jouer sans peur » Il voudra à coup sûr prendre d’assaut le filet, raccourcir les échanges, ne pas s’épuiser dans des rallyes de fond de court.;1;35;2;0;0;0
 « Pouvoir s’affronter une nouvelle fois ici, c’est une occasion unique que peut-être ni lui ni moi n’attendions plus », concède Nadal.;1;21;1;1;1;1
 « J’ai progressé tout au long de ma saison sur terre C’est maintenant le moment de jouer à mon plus haut niveau et j’espère arriver à le faire », disait-il à la veille des hostilités.;1;34;1;0;0;1
 « Mon prochain adversaire, il est correct, il sait jouer au tennis », plaisantait-il sur le court, après son quart de finale.;1;21;0;0;0;1
 Sinon, « Dieu » redescendra sur terre.;1;6;1;1;1;0
 Depuis le début de la quinzaine, « Papy » Federer ne claudique pas sur le court, il vole.;1;17;2;1;1;0
 « Si j’arrive en deuxième semaine, je serais déjà très content », répétait-il.;1;12;0;0;0;1
 C’est précisément ce qu’espère Federer : « Contre n’importe quel joueur, il y a toujours une possibilité On sait tous que contre Rafa, ça va être difficile Mais on ne sait pas, il aura peut-être un problème, il sera peut-être malade, plaisanta-t-il mardi Peut-être que je vais très, très bien jouer et que lui va lutter pour une raison ou une autre : il peut y avoir énormément de vent, de la pluie, dix interruptions successives à cause d’elle… » S’il réussit l’exploit, il corrigerait la seule anomalie de son interminable palmarès.;1;89;7;1;1;1
 Avant d’ajouter, redevenu sérieux, un peu ému : « Si je suis revenu à Roland-Garros, c’est peut-être aussi pour pouvoir y rejouer une fois Rafa Voilà, j’ai mon match » Comme si le Suisse, qui a soulevé la coupe des Mousquetaires il y a dix ans, l’année où Nadal est tombé pour la première fois (2009, contre Soderling), avait un compte à régler.;1;61;10;1;1;1
 « Pour que le rêve soit complet, il faudrait gagner le tournoi et soulever la coupe des Mousquetaires une nouvelle fois Mais bon, il y a encore des gars, ici, qui en veulent autant, à commencer par un certain Rafa… » Face au soldat napoléonien et sa science du terrain, le vieil empire russe n’a pas dit son dernier mot : « Je veux continuer d’y croire Ce sera un vrai choc vendredi » L’outsider n’a rien à perdre.;2;75;7;1;1;0
 « Je dois faire en sorte que tous les matchs gagnés face à lui sur cette surface pèsent », estime encore l’homme aux onze titres, qui disputera son 94e match en ces lieux : 91 victoires, deux défaites à ce jour.;1;37;0;0;0;1
